name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-01-01,26.0,18.0,21.4,26.0,18.0,21.4,18.1,83.0,3.08,100,4.17,rain,0,0,43.6,22.2,84.2,1019.3,64.8,5.5,166.9,14.4,7,,2022-01-01T06:41:52,2022-01-01T18:04:25,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-02,26.9,17.9,21.6,26.9,17.9,21.6,16.4,75.4,0.0,0,0.0,,0,0,37.4,22.1,93.6,1018.4,46.1,6.5,192.7,16.6,7,,2022-01-02T06:42:15,2022-01-02T18:04:59,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-03,26.6,16.0,21.0,26.6,16.0,21.0,15.7,74.8,0.0,0,0.0,,0,0,29.9,14.6,93.6,1017.9,40.1,5.6,230.9,19.9,9,,2022-01-03T06:42:36,2022-01-03T18:05:33,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-04,26.9,17.0,20.8,26.7,17.0,20.8,15.0,73.4,0.0,0,0.0,,0,0,29.2,14.5,81.7,1017.8,38.4,5.0,243.5,21.2,9,,2022-01-04T06:42:57,2022-01-04T18:06:07,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-05,27.0,16.0,20.7,26.9,16.0,20.7,14.8,72.0,0.0,0,0.0,,0,0,21.6,11.2,92.0,1017.8,39.6,4.6,245.9,21.4,9,,2022-01-05T06:43:18,2022-01-05T18:06:41,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-06,27.0,17.0,21.5,27.1,17.0,21.5,16.5,75.9,0.0,0,0.0,,0,0,22.0,14.8,98.4,1016.8,37.5,5.5,239.4,20.8,9,,2022-01-06T06:43:37,2022-01-06T18:07:15,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-07,27.9,18.0,21.6,27.6,18.0,21.5,16.2,75.1,0.0,0,0.0,,0,0,27.4,17.9,114.2,1017.0,53.1,5.1,221.5,19.1,8,,2022-01-07T06:43:55,2022-01-07T18:07:49,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-08,26.3,18.0,21.7,26.3,18.0,21.7,17.0,76.9,0.0,0,0.0,,0,0,26.6,14.8,119.5,1017.5,50.5,5.1,182.5,16.0,8,,2022-01-08T06:44:13,2022-01-08T18:08:23,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-09,27.1,17.9,22.1,27.5,17.9,22.1,16.8,75.1,0.0,0,0.0,,0,0,26.3,14.7,120.0,1016.1,59.2,5.1,200.6,17.2,8,,2022-01-09T06:44:29,2022-01-09T18:08:57,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-10,27.0,17.0,21.7,27.5,17.0,21.7,16.1,73.6,0.0,0,0.0,,0,0,23.4,12.1,122.5,1016.4,42.3,5.1,217.4,18.7,8,10.0,2022-01-10T06:44:44,2022-01-10T18:09:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-11,28.9,17.5,22.4,28.5,17.5,22.3,16.1,71.3,0.0,0,0.0,,0,0,24.8,17.8,143.4,1016.1,37.2,6.0,236.4,20.4,9,10.0,2022-01-11T06:44:59,2022-01-11T18:10:04,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
