name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2023-07-01,30.9,21,25.6,33.6,21,26.2,20.1,73.6,0.1,100,4.17,rain,0,0,43.6,25.7,258.6,1014.1,57.4,6.5,186.1,16.1,6,10,2023-07-01T05:57:08,2023-07-01T18:49:47,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-02,28.9,22,24.3,31.2,22,24.8,20.4,79.3,16.798,100,8.33,rain,0,0,46.8,22.7,261.6,1013.5,77.6,5.5,167.3,14.6,6,10,2023-07-02T05:57:24,2023-07-02T18:49:54,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-03,29.9,21,24,32.4,21,24.5,20.5,82.1,3,100,4.17,rain,0,0,49,24.3,263.1,1011.9,70.8,6.5,145.7,12.7,6,10,2023-07-03T05:57:40,2023-07-03T18:50:00,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-04,27.9,20,22.8,30.4,20,22.9,19.9,84.4,0.92,100,4.17,rain,0,0,65.2,26.1,241.9,1010.1,81.2,5.7,76,6.5,3,10,2023-07-04T05:57:57,2023-07-04T18:50:05,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-05,26.9,20,22.9,28.7,20,23,19.4,81.1,17.1,100,66.67,rain,0,0,64.4,29.4,246.4,1008.8,82.9,6.2,86.8,7.5,7,10,2023-07-05T05:58:13,2023-07-05T18:50:10,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-06,27.9,21,23.1,29.9,21,23.3,20,83.2,0.492,100,16.67,rain,0,0,56.9,30.1,243.6,1011.3,78.4,6,93.1,8,4,10,2023-07-06T05:58:30,2023-07-06T18:50:13,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-07,27,20.9,23,29.1,20.9,23,20.5,86.4,6.471,100,4.17,rain,0,0,58,26,243.2,1013.5,80.9,5.9,161.7,13.8,8,10,2023-07-07T05:58:46,2023-07-07T18:50:16,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-08,26.9,21,22.6,28.7,21,22.7,20.6,88.6,6.679,100,12.5,rain,0,0,45.4,21.4,241.5,1014.5,82.1,5.7,117.2,10,5,10,2023-07-08T05:59:03,2023-07-08T18:50:18,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-09,28,21,24.2,30.1,21,24.5,20.1,79.1,0.132,100,8.33,rain,0,0,42.5,22.3,246.1,1013.8,82.2,6.2,129.6,11.2,4,10,2023-07-09T05:59:20,2023-07-09T18:50:20,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-10,27.9,21.6,23.6,31.6,21.6,24,21.3,87.6,9.359,100,12.5,rain,0,0,36.4,20.8,258.7,1013.5,88.6,5.3,140.9,12.1,6,10,2023-07-10T05:59:37,2023-07-10T18:50:20,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-11,27.9,20.1,23,30,20.1,23.3,20.4,86.1,14.519,100,12.5,rain,0,0,37.8,24.1,259.6,1013.1,83.8,5.5,104.1,8.9,5,10,2023-07-11T05:59:54,2023-07-11T18:50:20,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-12,28.9,20.9,23.8,31.7,20.9,24.3,20.6,83.1,11.054,100,8.33,rain,0,0,38.5,19.4,257,1012.5,72.7,6.9,205.7,17.7,7,10,2023-07-12T06:00:10,2023-07-12T18:50:19,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-13,28.7,21,23.3,31,21,23.6,20.1,83.6,22.094,100,12.5,rain,0,0,42.8,18.6,249,1012.8,74.2,5.9,178.4,15.5,7,10,2023-07-13T06:00:27,2023-07-13T18:50:17,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-14,28.8,20.4,23.5,31.1,20.4,23.9,20.2,82.5,0.92,100,4.17,rain,0,0,53.3,22.5,247.6,1014,65.9,6.6,187.2,16.1,7,10,2023-07-14T06:00:44,2023-07-14T18:50:14,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-15,29.9,20.7,24.4,33.1,20.7,25.1,20.4,79.6,2.24,100,8.33,rain,0,0,46.1,20.9,258.6,1014.1,68.5,7.3,197.3,17.1,7,10,2023-07-15T06:01:00,2023-07-15T18:50:10,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-16,28.9,21,24.2,31.7,21,24.6,20.4,80,0.3,100,8.33,rain,0,0,41,21.4,252.5,1013.5,82.1,6.8,168.8,14.5,6,10,2023-07-16T06:01:17,2023-07-16T18:50:06,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-17,28,21,24.1,30,21,24.5,19.9,78.2,0.184,100,4.17,rain,0,0,49.7,24,250.9,1012.7,82.2,5.4,173.8,15,6,10,2023-07-17T06:01:33,2023-07-17T18:50:00,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-18,29.9,21,24.5,32.3,21,24.8,19.5,75,0.4,100,8.33,rain,0,0,55.1,29.6,247.5,1011.8,64.3,7.2,171.7,14.9,8,10,2023-07-18T06:01:49,2023-07-18T18:49:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-19,27.1,21,23.7,28.5,21,23.9,19.3,77.2,1.2,100,41.67,rain,0,0,61.2,33.3,252.8,1010.4,82.1,7,153.1,13.2,6,10,2023-07-19T06:02:05,2023-07-19T18:49:47,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2023-07-20,28.1,21,24.2,29.8,21,24.4,19.1,74.5,1.3,100,29.17,rain,0,0,75.2,37.2,249.2,1010.2,69.5,6.9,169.4,14.8,7,10,2023-07-20T06:02:20,2023-07-20T18:49:38,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
